solver,metric,Linkage,value
TREX-DA+BT: TLARS,FDR,1.000000,0.153500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.233052
TREX-DA+BT: TLARS,TPR,1.000000,0.673000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.282969
TREX-DA+BT: TLARS,Avg_L,1.000000,1.665000
TREX-DA+BT: TLARS,Avg_T,1.000000,30.035000
TREX-DA+BT: TLARS,FDR,2.000000,0.158881
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.177458
TREX-DA+BT: TLARS,TPR,2.000000,0.721000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.229395
TREX-DA+BT: TLARS,Avg_L,2.000000,1.600000
TREX-DA+BT: TLARS,Avg_T,2.000000,26.640000
TREX-DA+BT: TLARS,FDR,3.000000,0.140476
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.188491
TREX-DA+BT: TLARS,TPR,3.000000,0.713000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.257219
TREX-DA+BT: TLARS,Avg_L,3.000000,1.690000
TREX-DA+BT: TLARS,Avg_T,3.000000,26.365000
TREX-DA+BT: TAFS,FDR,1.000000,0.086940
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.136267
TREX-DA+BT: TAFS,TPR,1.000000,0.776000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.206000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.795000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.605000
TREX-DA+BT: TAFS,FDR,2.000000,0.113714
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.140715
TREX-DA+BT: TAFS,TPR,2.000000,0.788000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.173222
TREX-DA+BT: TAFS,Avg_L,2.000000,1.665000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.505000
TREX-DA+BT: TAFS,FDR,3.000000,0.104429
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.158770
TREX-DA+BT: TAFS,TPR,3.000000,0.779000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.212567
TREX-DA+BT: TAFS,Avg_L,3.000000,1.730000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.495000
TREX-DA+BT: TOMP,FDR,1.000000,0.050845
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.108267
TREX-DA+BT: TOMP,TPR,1.000000,0.937000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.135361
TREX-DA+BT: TOMP,Avg_L,1.000000,1.930000
TREX-DA+BT: TOMP,Avg_T,1.000000,7.890000
TREX-DA+BT: TOMP,FDR,2.000000,0.042333
TREX-DA+BT: TOMP,sd_FDR,2.000000,0.089649
TREX-DA+BT: TOMP,TPR,2.000000,0.959000
TREX-DA+BT: TOMP,sd_TPR,2.000000,0.092530
TREX-DA+BT: TOMP,Avg_L,2.000000,1.895000
TREX-DA+BT: TOMP,Avg_T,2.000000,7.760000
TREX-DA+BT: TOMP,FDR,3.000000,0.049345
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.096431
TREX-DA+BT: TOMP,TPR,3.000000,0.952000
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.108419
TREX-DA+BT: TOMP,Avg_L,3.000000,1.900000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.855000
