method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.056126,0.066766
EN,mean_TPP,0.100000,0.457733,0.285494
EN+AUG,mean_FDP,0.100000,0.052788,0.056881
EN+AUG,mean_TPP,0.100000,0.459900,0.293871
IEN,mean_FDP,0.100000,0.011929,0.029025
IEN,mean_TPP,0.100000,0.289433,0.239259
EN,mean_FDP,0.200000,0.073359,0.051339
EN,mean_TPP,0.200000,0.740667,0.162939
EN+AUG,mean_FDP,0.200000,0.072790,0.049518
EN+AUG,mean_TPP,0.200000,0.759133,0.174304
IEN,mean_FDP,0.200000,0.011427,0.016866
IEN,mean_TPP,0.200000,0.571533,0.179546
EN,mean_FDP,0.500000,0.074878,0.046870
EN,mean_TPP,0.500000,0.885200,0.073143
EN+AUG,mean_FDP,0.500000,0.079905,0.050550
EN+AUG,mean_TPP,0.500000,0.902900,0.068411
IEN,mean_FDP,0.500000,0.009527,0.017619
IEN,mean_TPP,0.500000,0.739067,0.125274
EN,mean_FDP,1.000000,0.073185,0.045100
EN,mean_TPP,1.000000,0.918200,0.050280
EN+AUG,mean_FDP,1.000000,0.075054,0.053225
EN+AUG,mean_TPP,1.000000,0.933233,0.051702
IEN,mean_FDP,1.000000,0.007710,0.016285
IEN,mean_TPP,1.000000,0.793500,0.117334
EN,mean_FDP,2.000000,0.075871,0.044668
EN,mean_TPP,2.000000,0.934367,0.052204
EN+AUG,mean_FDP,2.000000,0.072864,0.049138
EN+AUG,mean_TPP,2.000000,0.948000,0.051631
IEN,mean_FDP,2.000000,0.005546,0.012681
IEN,mean_TPP,2.000000,0.830467,0.099978
EN,mean_FDP,5.000000,0.075532,0.045220
EN,mean_TPP,5.000000,0.947667,0.050854
EN+AUG,mean_FDP,5.000000,0.074572,0.048785
EN+AUG,mean_TPP,5.000000,0.961767,0.047341
IEN,mean_FDP,5.000000,0.002093,0.007185
IEN,mean_TPP,5.000000,0.856800,0.081046
