method,metric,snr,value
Screen-TRex Ordinary: TLARS,Usage,0.100000,0.000000
Screen-TRex Ordinary: TLARS,FDR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,TPR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,Est. FDR,0.100000,0.427667
Screen-TRex Ordinary: TLARS,Usage,0.500000,0.110000
Screen-TRex Ordinary: TLARS,FDR,0.500000,0.208532
Screen-TRex Ordinary: TLARS,TPR,0.500000,0.609091
Screen-TRex Ordinary: TLARS,Est. FDR,0.500000,0.220050
Screen-TRex Ordinary: TLARS,Usage,1.000000,0.435000
Screen-TRex Ordinary: TLARS,FDR,1.000000,0.067350
Screen-TRex Ordinary: TLARS,TPR,1.000000,0.809195
Screen-TRex Ordinary: TLARS,Est. FDR,1.000000,0.120361
Screen-TRex Ordinary: TLARS,Usage,2.000000,0.245000
Screen-TRex Ordinary: TLARS,FDR,2.000000,0.057255
Screen-TRex Ordinary: TLARS,TPR,2.000000,0.967347
Screen-TRex Ordinary: TLARS,Est. FDR,2.000000,0.096104
Screen-TRex Ordinary: TLARS,Usage,5.000000,0.130000
Screen-TRex Ordinary: TLARS,FDR,5.000000,0.047786
Screen-TRex Ordinary: TLARS,TPR,5.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,5.000000,0.094439
Screen-TRex Bootstrap-CI: TLARS,Usage,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,TPR,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.100000,0.338917
Screen-TRex Bootstrap-CI: TLARS,Usage,0.500000,0.100000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.500000,0.163555
Screen-TRex Bootstrap-CI: TLARS,TPR,0.500000,0.630000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.500000,0.098651
Screen-TRex Bootstrap-CI: TLARS,Usage,1.000000,0.460000
Screen-TRex Bootstrap-CI: TLARS,FDR,1.000000,0.062878
Screen-TRex Bootstrap-CI: TLARS,TPR,1.000000,0.845652
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,1.000000,0.058334
Screen-TRex Bootstrap-CI: TLARS,Usage,2.000000,0.755000
Screen-TRex Bootstrap-CI: TLARS,FDR,2.000000,0.046811
Screen-TRex Bootstrap-CI: TLARS,TPR,2.000000,0.997351
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,2.000000,0.072182
Screen-TRex Bootstrap-CI: TLARS,Usage,5.000000,0.870000
Screen-TRex Bootstrap-CI: TLARS,FDR,5.000000,0.055818
Screen-TRex Bootstrap-CI: TLARS,TPR,5.000000,1.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,5.000000,0.082144
T-Rex fallback: TLARS,Usage,0.100000,1.000000
T-Rex fallback: TLARS,FDR,0.100000,0.015833
T-Rex fallback: TLARS,TPR,0.100000,0.002000
T-Rex fallback: TLARS,Est. FDR,0.100000,0.100000
T-Rex fallback: TLARS,Usage,0.500000,0.790000
T-Rex fallback: TLARS,FDR,0.500000,0.025211
T-Rex fallback: TLARS,TPR,0.500000,0.189873
T-Rex fallback: TLARS,Est. FDR,0.500000,0.100000
T-Rex fallback: TLARS,Usage,1.000000,0.105000
T-Rex fallback: TLARS,FDR,1.000000,0.007937
T-Rex fallback: TLARS,TPR,1.000000,0.547619
T-Rex fallback: TLARS,Est. FDR,1.000000,0.100000
T-Rex fallback: TLARS,Usage,2.000000,0.000000
T-Rex fallback: TLARS,FDR,2.000000,0.000000
T-Rex fallback: TLARS,TPR,2.000000,0.000000
T-Rex fallback: TLARS,Est. FDR,2.000000,0.100000
T-Rex fallback: TLARS,Usage,5.000000,0.000000
T-Rex fallback: TLARS,FDR,5.000000,0.000000
T-Rex fallback: TLARS,TPR,5.000000,0.000000
T-Rex fallback: TLARS,Est. FDR,5.000000,0.100000
