pc,metric,snr_db,value
1,FDRunion,-10.000000,0.066893
1,k,-10.000000,5.755000
1,FDRunion,-7.000000,0.033504
1,k,-7.000000,5.500000
1,FDRunion,-5.000000,0.021468
1,k,-5.000000,5.395000
1,FDRunion,-3.000000,0.022139
1,k,-3.000000,5.460000
1,FDRunion,0.000000,0.020672
1,k,0.000000,5.565000
1,FDRunion,3.000000,0.020883
1,k,3.000000,5.540000
1,FDRunion,5.000000,0.020655
1,k,5.000000,5.665000
1,FDRunion,7.000000,0.013845
1,k,7.000000,5.540000
1,FDRunion,10.000000,0.019637
1,k,10.000000,5.570000
2,FDRunion,-10.000000,0.448873
2,k,-10.000000,7.545000
2,FDRunion,-7.000000,0.158072
2,k,-7.000000,5.315000
2,FDRunion,-5.000000,0.062005
2,k,-5.000000,4.730000
2,FDRunion,-3.000000,0.031482
2,k,-3.000000,4.510000
2,FDRunion,0.000000,0.019643
2,k,0.000000,4.320000
2,FDRunion,3.000000,0.015167
2,k,3.000000,4.340000
2,FDRunion,5.000000,0.016881
2,k,5.000000,4.405000
2,FDRunion,7.000000,0.008972
2,k,7.000000,4.420000
2,FDRunion,10.000000,0.012810
2,k,10.000000,4.455000
3,FDRunion,-10.000000,0.710955
3,k,-10.000000,6.110000
3,FDRunion,-7.000000,0.796285
3,k,-7.000000,6.985000
3,FDRunion,-5.000000,0.824958
3,k,-5.000000,6.870000
3,FDRunion,-3.000000,0.746190
3,k,-3.000000,7.340000
3,FDRunion,0.000000,0.417041
3,k,0.000000,5.640000
3,FDRunion,3.000000,0.122573
3,k,3.000000,4.240000
3,FDRunion,5.000000,0.036655
3,k,5.000000,3.690000
3,FDRunion,7.000000,0.031810
3,k,7.000000,3.550000
3,FDRunion,10.000000,0.017036
3,k,10.000000,3.700000
